municipality,education_level,year,count,population,percentage
Aabenraa,I alt,2007,42097,,
Aabenraa,I alt,2008,42218,60316.75,69.99
Aabenraa,I alt,2009,41926,60237.0,69.6
Aabenraa,I alt,2010,41689,59946.0,69.54
Aabenraa,I alt,2011,41590,59750.0,69.61
Aabenraa,I alt,2012,41238,59457.25,69.36
Aabenraa,I alt,2013,40840,59133.25,69.06
Aabenraa,I alt,2014,40678,58977.5,68.97
Aabenraa,I alt,2015,40477,58928.5,68.69
Aabenraa,I alt,2016,40264,58996.25,68.25
Aabenraa,I alt,2017,40068,59095.75,67.8
Aabenraa,I alt,2018,39864,59034.5,67.53
Aabenraa,I alt,2019,39525,58946.5,67.05
Aabenraa,I alt,2020,39263,58676.25,66.91
Aabenraa,I alt,2021,39052,58556.5,66.69
Aabenraa,I alt,2022,39155,58883.0,66.5
Aabenraa,I alt,2023,38783,58842.25,65.91
Aalborg,I alt,2007,141624,,
Aalborg,I alt,2008,142461,195369.0,72.92
Aalborg,I alt,2009,143297,196461.0,72.94
Aalborg,I alt,2010,144662,197786.25,73.14
Aalborg,I alt,2011,146765,199725.0,73.48
Aalborg,I alt,2012,148482,201589.75,73.66
Aalborg,I alt,2013,150456,203983.0,73.76
Aalborg,I alt,2014,151679,206243.25,73.54
Aalborg,I alt,2015,152973,208336.0,73.43
Aalborg,I alt,2016,153843,210779.0,72.99
Aalborg,I alt,2017,154137,212241.0,72.62
Aalborg,I alt,2018,155105,213798.0,72.55
Aalborg,I alt,2019,156291,215851.75,72.41
Aalborg,I alt,2020,157593,217691.0,72.39
Aalborg,I alt,2021,158831,219912.5,72.22
Aalborg,I alt,2022,159717,221616.25,72.07
Aalborg,I alt,2023,159913,222671.5,71.82
Aarhus,I alt,2007,221630,,
Aarhus,I alt,2008,225032,299457.25,75.15
Aarhus,I alt,2009,229500,303985.75,75.5
Aarhus,I alt,2010,232787,307805.25,75.63
Aarhus,I alt,2011,235788,311784.0,75.63
Aarhus,I alt,2012,239638,315845.5,75.87
Aarhus,I alt,2013,243700,320541.25,76.03
Aarhus,I alt,2014,245295,324594.0,75.57
Aarhus,I alt,2015,247375,327601.25,75.51
Aarhus,I alt,2016,250473,332301.0,75.38
Aarhus,I alt,2017,253565,337210.25,75.19
Aarhus,I alt,2018,257375,342261.25,75.2
Aarhus,I alt,2019,260373,346622.25,75.12
Aarhus,I alt,2020,262175,350704.25,74.76
Aarhus,I alt,2021,263741,353218.0,74.67
Aarhus,I alt,2022,268224,357203.75,75.09
Aarhus,I alt,2023,272758,363305.0,75.08
Albertslund,I alt,2007,20224,,
Albertslund,I alt,2008,20307,27644.75,73.46
Albertslund,I alt,2009,20273,27784.75,72.96
Albertslund,I alt,2010,20040,27737.25,72.25
Albertslund,I alt,2011,19985,27774.5,71.95
Albertslund,I alt,2012,19959,27865.75,71.63
Albertslund,I alt,2013,19808,27782.25,71.3
Albertslund,I alt,2014,19599,27754.5,70.62
Albertslund,I alt,2015,19463,27732.75,70.18
Albertslund,I alt,2016,19393,27852.75,69.63
Albertslund,I alt,2017,19208,27857.25,68.95
Albertslund,I alt,2018,19178,27768.0,69.07
Albertslund,I alt,2019,18997,27768.0,68.41
Albertslund,I alt,2020,18838,27605.25,68.24
Albertslund,I alt,2021,18664,27270.5,68.44
Albertslund,I alt,2022,18788,27567.5,68.15
Albertslund,I alt,2023,18879,27554.5,68.52
Allerød,I alt,2007,16006,,
Allerød,I alt,2008,16150,23608.25,68.41
Allerød,I alt,2009,16311,23921.75,68.18
Allerød,I alt,2010,16268,24120.75,67.44
Allerød,I alt,2011,16191,24077.5,67.25
Allerød,I alt,2012,16235,24067.25,67.46
Allerød,I alt,2013,16139,24079.5,67.02
Allerød,I alt,2014,16188,24229.75,66.81
Allerød,I alt,2015,16306,24513.5,66.52
Allerød,I alt,2016,16420,24823.5,66.15
Allerød,I alt,2017,16503,25093.75,65.77
Allerød,I alt,2018,16609,25377.25,65.45
Allerød,I alt,2019,16613,25686.25,64.68
Allerød,I alt,2020,16668,25693.5,64.87
Allerød,I alt,2021,16538,25895.5,63.86
Allerød,I alt,2022,16648,25947.5,64.16
Allerød,I alt,2023,16605,26009.5,63.84
Assens,I alt,2007,28811,,
Assens,I alt,2008,28964,42167.0,68.69
Assens,I alt,2009,28876,42101.5,68.59
Assens,I alt,2010,28716,41884.25,68.56
Assens,I alt,2011,28544,41579.75,68.65
Assens,I alt,2012,28460,41394.25,68.75
Assens,I alt,2013,28251,41180.75,68.6
Assens,I alt,2014,28228,41033.5,68.79
Assens,I alt,2015,28213,41135.25,68.59
Assens,I alt,2016,28256,41349.0,68.34
Assens,I alt,2017,28107,41406.75,67.88
Assens,I alt,2018,27867,41382.25,67.34
Assens,I alt,2019,27511,41128.0,66.89
Assens,I alt,2020,27164,40894.75,66.42
Assens,I alt,2021,27248,40861.5,66.68
Assens,I alt,2022,27351,40969.25,66.76
Assens,I alt,2023,27139,40847.75,66.44
Ballerup,I alt,2007,32771,,
Ballerup,I alt,2008,32815,47265.25,69.43
Ballerup,I alt,2009,32954,47512.5,69.36
Ballerup,I alt,2010,32969,47721.5,69.09
Ballerup,I alt,2011,33027,47987.75,68.82
Ballerup,I alt,2012,32977,48139.0,68.5
Ballerup,I alt,2013,32975,48357.0,68.19
Ballerup,I alt,2014,32701,48477.0,67.46
Ballerup,I alt,2015,32460,48297.0,67.21
Ballerup,I alt,2016,32312,48245.5,66.97
Ballerup,I alt,2017,32118,48219.75,66.61
Ballerup,I alt,2018,32251,48347.75,66.71
Ballerup,I alt,2019,32207,48448.75,66.48
Ballerup,I alt,2020,32500,48821.5,66.57
Ballerup,I alt,2021,32780,49196.25,66.63
Ballerup,I alt,2022,33301,49543.25,67.22
Ballerup,I alt,2023,34252,50366.5,68.01
Billund,I alt,2007,17976,,
Billund,I alt,2008,18032,26228.25,68.75
Billund,I alt,2009,18131,26262.25,69.04
Billund,I alt,2010,18074,26178.25,69.04
Billund,I alt,2011,18125,26219.0,69.13
Billund,I alt,2012,18213,26309.0,69.23
Billund,I alt,2013,18123,26351.25,68.77
Billund,I alt,2014,18119,26334.75,68.8
Billund,I alt,2015,18147,26334.75,68.91
Billund,I alt,2016,18102,26508.0,68.29
Billund,I alt,2017,17973,26500.25,67.82
Billund,I alt,2018,17969,26553.0,67.67
Billund,I alt,2019,17906,26660.5,67.16
Billund,I alt,2020,17770,26570.75,66.88
Billund,I alt,2021,17796,26549.0,67.03
Billund,I alt,2022,18118,26826.5,67.54
Billund,I alt,2023,18248,27063.5,67.43
Bornholm,I alt,2007,29814,,
Bornholm,I alt,2008,29629,42727.0,69.34
Bornholm,I alt,2009,29371,42434.0,69.22
Bornholm,I alt,2010,29149,42037.75,69.34
Bornholm,I alt,2011,28823,41587.75,69.31
