municipality,year,population
Aabenraa,2008,60316.75
Aabenraa,2009,60237.0
Aabenraa,2010,59946.0
Aabenraa,2011,59750.0
Aabenraa,2012,59457.25
Aabenraa,2013,59133.25
Aabenraa,2014,58977.5
Aabenraa,2015,58928.5
Aabenraa,2016,58996.25
Aabenraa,2017,59095.75
Aabenraa,2018,59034.5
Aabenraa,2019,58946.5
Aabenraa,2020,58676.25
Aabenraa,2021,58556.5
Aabenraa,2022,58883.0
Aabenraa,2023,58842.25
Aalborg,2008,195369.0
Aalborg,2009,196461.0
Aalborg,2010,197786.25
Aalborg,2011,199725.0
Aalborg,2012,201589.75
Aalborg,2013,203983.0
Aalborg,2014,206243.25
Aalborg,2015,208336.0
Aalborg,2016,210779.0
Aalborg,2017,212241.0
Aalborg,2018,213798.0
Aalborg,2019,215851.75
Aalborg,2020,217691.0
Aalborg,2021,219912.5
Aalborg,2022,221616.25
Aalborg,2023,222671.5
Aarhus,2008,299457.25
Aarhus,2009,303985.75
Aarhus,2010,307805.25
Aarhus,2011,311784.0
Aarhus,2012,315845.5
Aarhus,2013,320541.25
Aarhus,2014,324594.0
Aarhus,2015,327601.25
Aarhus,2016,332301.0
Aarhus,2017,337210.25
Aarhus,2018,342261.25
Aarhus,2019,346622.25
Aarhus,2020,350704.25
Aarhus,2021,353218.0
Aarhus,2022,357203.75
Aarhus,2023,363305.0
Albertslund,2008,27644.75
Albertslund,2009,27784.75
Albertslund,2010,27737.25
Albertslund,2011,27774.5
Albertslund,2012,27865.75
Albertslund,2013,27782.25
Albertslund,2014,27754.5
Albertslund,2015,27732.75
Albertslund,2016,27852.75
Albertslund,2017,27857.25
Albertslund,2018,27768.0
Albertslund,2019,27768.0
Albertslund,2020,27605.25
Albertslund,2021,27270.5
Albertslund,2022,27567.5
Albertslund,2023,27554.5
Allerød,2008,23608.25
Allerød,2009,23921.75
Allerød,2010,24120.75
Allerød,2011,24077.5
Allerød,2012,24067.25
Allerød,2013,24079.5
Allerød,2014,24229.75
Allerød,2015,24513.5
