broader_region,municipality,year,total_population,avg_income,gini_coefficient,unemployment_rate,share_of_higher_educated
Aalborg,Aalborg,2008,195369.0,136762.0,27.28,3.6,72.9
Aalborg,Aalborg,2009,196461.0,128690.0,25.72,5.6,72.9
Aalborg,Aalborg,2010,197786.0,130532.0,26.69,6.4,73.1
Aalborg,Aalborg,2011,199725.0,125770.0,26.43,6.4,73.5
Aalborg,Aalborg,2012,201590.0,123980.0,26.39,6.3,73.7
Aalborg,Aalborg,2013,203983.0,123772.0,27.03,6.0,73.8
Aalborg,Aalborg,2014,206243.0,124384.0,27.54,6.0,73.5
Aalborg,Aalborg,2015,208336.0,127092.0,27.98,5.9,73.4
Aalborg,Aalborg,2016,210779.0,136289.0,28.05,5.3,73.0
Aalborg,Aalborg,2017,212241.0,140661.0,28.61,5.4,72.6
Aalborg,Aalborg,2018,213798.0,153467.0,28.7,5.1,72.6
Aalborg,Aalborg,2019,215852.0,178899.0,28.76,4.8,72.4
Aalborg,Aalborg,2020,217691.0,193273.0,29.12,5.7,72.4
Aalborg,Aalborg,2021,219912.0,206086.0,29.1,4.4,72.2
Aalborg,Aalborg,2022,221616.0,214027.0,29.04,3.4,72.1
Aalborg,Aalborg,2023,222672.0,222946.0,28.65,3.6,71.8
Aarhus,Aarhus,2008,299457.0,119511.0,29.77,2.6,75.2
Aarhus,Aarhus,2009,303986.0,127149.0,28.64,4.4,75.5
Aarhus,Aarhus,2010,307805.0,130669.0,30.65,5.2,75.6
Aarhus,Aarhus,2011,311784.0,127232.0,31.09,5.3,75.6
Aarhus,Aarhus,2012,315846.0,120919.0,30.67,5.6,75.9
Aarhus,Aarhus,2013,320541.0,120677.0,31.41,5.6,76.0
Aarhus,Aarhus,2014,324594.0,132769.0,31.55,4.9,75.6
Aarhus,Aarhus,2015,327601.0,145018.0,32.66,4.5,75.5
Aarhus,Aarhus,2016,332301.0,137361.0,31.94,4.3,75.4
Aarhus,Aarhus,2017,337210.0,145352.0,33.29,4.4,75.2
Aarhus,Aarhus,2018,342261.0,156196.0,32.92,4.3,75.2
Aarhus,Aarhus,2019,346622.0,173449.0,33.12,4.3,75.1
Aarhus,Aarhus,2020,350704.0,194144.0,33.19,5.4,74.8
Aarhus,Aarhus,2021,353218.0,210695.0,33.77,4.2,74.7
Aarhus,Aarhus,2022,357204.0,213591.0,34.22,3.0,75.1
Aarhus,Aarhus,2023,363305.0,222909.0,33.65,3.5,75.1
Copenhagen,København,2008,512558.0,128170.0,29.6,4.4,78.3
Copenhagen,København,2009,521887.0,125933.0,29.38,6.3,78.6
Copenhagen,København,2010,532085.0,122043.0,31.44,7.5,78.9
Copenhagen,København,2011,542883.0,136311.0,31.38,7.5,78.8
Copenhagen,København,2012,552612.0,139486.0,31.25,7.6,78.8
Copenhagen,København,2013,563268.0,147657.0,31.86,7.2,78.9
Copenhagen,København,2014,573433.0,154544.0,32.13,6.3,78.9
Copenhagen,København,2015,584189.0,159285.0,32.7,5.5,78.8
Copenhagen,København,2016,595424.0,150461.0,33.24,5.0,78.7
Copenhagen,København,2017,606432.0,156569.0,33.65,4.9,78.5
Copenhagen,København,2018,617019.0,169178.0,33.71,4.5,78.5
Copenhagen,København,2019,627321.0,192372.0,33.95,4.4,78.5
Copenhagen,København,2020,634190.0,210326.0,34.35,5.7,78.2
Copenhagen,København,2021,639800.0,227962.0,35.09,4.8,78.3
Copenhagen,København,2022,647829.0,234902.0,34.56,3.3,78.7
Copenhagen,København,2023,656756.0,248984.0,34.98,3.5,78.7
Hovedstaden,Albertslund,2008,27645.0,117097.0,23.26,3.7,73.5
