BOPOMR,HERKOMST,HFUDD,ALDER,KØN,TID,INDHOLD
Norddjurs,I alt,I alt,Alder i alt,I alt,2018,25996
Lemvig,I alt,I alt,Alder i alt,I alt,2018,13465
Slagelse,I alt,I alt,Alder i alt,I alt,2014,54322
Roskilde,I alt,I alt,Alder i alt,I alt,2014,59582
Kalundborg,I alt,I alt,Alder i alt,I alt,2014,33648
Struer,I alt,I alt,Alder i alt,I alt,2018,14145
Herning,I alt,I alt,Alder i alt,I alt,2018,61140
Dragør,I alt,I alt,Alder i alt,I alt,2014,9177
Næstved,I alt,I alt,Alder i alt,I alt,2013,57257
Tårnby,I alt,I alt,Alder i alt,I alt,2014,29529
Lolland,I alt,I alt,Alder i alt,I alt,2013,30086
Syddjurs,I alt,I alt,Alder i alt,I alt,2018,28380
Holstebro,I alt,I alt,Alder i alt,I alt,2018,39646
Odsherred,I alt,I alt,Alder i alt,I alt,2014,22418
Fanø,I alt,I alt,Alder i alt,I alt,2013,2242
Ikast-Brande,I alt,I alt,Alder i alt,I alt,2018,28125
Kerteminde,I alt,I alt,Alder i alt,I alt,2013,16229
Skanderborg,I alt,I alt,Alder i alt,I alt,2018,41247
Ringsted,I alt,I alt,Alder i alt,I alt,2014,23646
Morsø,I alt,I alt,Alder i alt,I alt,2018,13576
Glostrup,I alt,I alt,Alder i alt,I alt,2014,15650
Hvidovre,I alt,I alt,Alder i alt,I alt,2014,36617
Ærø,I alt,I alt,Alder i alt,I alt,2013,4222
Allerød,I alt,I alt,Alder i alt,I alt,2014,16188
Fredericia,I alt,I alt,Alder i alt,I alt,2013,35128
Viborg,I alt,I alt,Alder i alt,I alt,2018,66135
Favrskov,I alt,I alt,Alder i alt,I alt,2013,32173
Svendborg,I alt,I alt,Alder i alt,I alt,2013,40436
Varde,I alt,I alt,Alder i alt,I alt,2013,34325
Vejle,I alt,I alt,Alder i alt,I alt,2013,76073
Herning,I alt,I alt,Alder i alt,I alt,2013,60984
Struer,I alt,I alt,Alder i alt,I alt,2013,14923
Silkeborg,I alt,I alt,Alder i alt,I alt,2018,63232
Ringkøbing-Skjern,I alt,I alt,Alder i alt,I alt,2018,38238
Hillerød,I alt,I alt,Alder i alt,I alt,2014,33760
Vordingborg,I alt,I alt,Alder i alt,I alt,2013,31365
Vesthimmerlands,I alt,I alt,Alder i alt,I alt,2018,24957
Aarhus,I alt,I alt,Alder i alt,I alt,2018,257375
Skive,I alt,I alt,Alder i alt,I alt,2018,31264
Ballerup,I alt,I alt,Alder i alt,I alt,2014,32701
Silkeborg,I alt,I alt,Alder i alt,I alt,2013,62210
Christiansø,I alt,I alt,Alder i alt,I alt,2013,73
Odder,I alt,I alt,Alder i alt,I alt,2018,15156
Egedal,I alt,I alt,Alder i alt,I alt,2014,29121
Køge,I alt,I alt,Alder i alt,I alt,2014,41194
Haderslev,I alt,I alt,Alder i alt,I alt,2013,38985
Tønder,I alt,I alt,Alder i alt,I alt,2013,26481
Favrskov,I alt,I alt,Alder i alt,I alt,2018,32298
Gentofte,I alt,I alt,Alder i alt,I alt,2014,51229
Assens,I alt,I alt,Alder i alt,I alt,2013,28251
Nyborg,I alt,I alt,Alder i alt,I alt,2013,21493
Brønderslev,I alt,I alt,Alder i alt,I alt,2018,24091
Rødovre,I alt,I alt,Alder i alt,I alt,2014,25957
Hedensted,I alt,I alt,Alder i alt,I alt,2018,31557
Solrød,I alt,I alt,Alder i alt,I alt,2014,14980
Holbæk,I alt,I alt,Alder i alt,I alt,2014,48210
Samsø,I alt,I alt,Alder i alt,I alt,2018,2340
København,I alt,I alt,Alder i alt,I alt,2014,452348
Thisted,I alt,I alt,Alder i alt,I alt,2018,29385
Vallensbæk,I alt,I alt,Alder i alt,I alt,2014,10314
Syddjurs,I alt,I alt,Alder i alt,I alt,2013,28821
Randers,I alt,I alt,Alder i alt,I alt,2018,67495
Vejen,I alt,I alt,Alder i alt,I alt,2013,29028
Horsens,I alt,I alt,Alder i alt,I alt,2013,60559
Frederikshavn,I alt,I alt,Alder i alt,I alt,2018,40074
Herlev,I alt,I alt,Alder i alt,I alt,2014,19246
Odder,I alt,I alt,Alder i alt,I alt,2013,14999
Mariagerfjord,I alt,I alt,Alder i alt,I alt,2018,28809
Fredensborg,I alt,I alt,Alder i alt,I alt,2014,27425
Nordfyns,I alt,I alt,Alder i alt,I alt,2013,20090
Hjørring,I alt,I alt,Alder i alt,I alt,2018,43969
Holstebro,I alt,I alt,Alder i alt,I alt,2013,39783
Jammerbugt,I alt,I alt,Alder i alt,I alt,2018,25625
Bornholm,I alt,I alt,Alder i alt,I alt,2013,27919
Læsø,I alt,I alt,Alder i alt,I alt,2018,1121
Esbjerg,I alt,I alt,Alder i alt,I alt,2013,82037
Rebild,I alt,I alt,Alder i alt,I alt,2018,19903
Aalborg,I alt,I alt,Alder i alt,I alt,2018,155105
Billund,I alt,I alt,Alder i alt,I alt,2013,18123
Høje-Taastrup,I alt,I alt,Alder i alt,I alt,2014,34508
Kolding,I alt,I alt,Alder i alt,I alt,2018,63874
