municipality,year,gini_coefficient
Aabenraa,2007,25.36
Aabenraa,2008,26.88
Aabenraa,2009,25.57
Aabenraa,2010,25.09
Aabenraa,2011,25.01
Aabenraa,2012,24.83
Aabenraa,2013,25.36
Aabenraa,2014,27.42
Aabenraa,2015,25.27
Aabenraa,2016,25.38
Aabenraa,2017,26.17
Aabenraa,2018,25.91
Aabenraa,2019,26.72
Aabenraa,2020,26.52
Aabenraa,2021,27.31
Aabenraa,2022,27.35
Aabenraa,2023,27.32
Aalborg,2007,26.07
Aalborg,2008,27.28
Aalborg,2009,25.72
Aalborg,2010,26.69
Aalborg,2011,26.43
Aalborg,2012,26.39
Aalborg,2013,27.03
Aalborg,2014,27.54
Aalborg,2015,27.98
Aalborg,2016,28.05
Aalborg,2017,28.61
Aalborg,2018,28.7
Aalborg,2019,28.76
Aalborg,2020,29.12
Aalborg,2021,29.1
Aalborg,2022,29.04
Aalborg,2023,28.65
Aarhus,2007,30.03
Aarhus,2008,29.77
Aarhus,2009,28.64
Aarhus,2010,30.65
Aarhus,2011,31.09
Aarhus,2012,30.67
Aarhus,2013,31.41
Aarhus,2014,31.55
Aarhus,2015,32.66
Aarhus,2016,31.94
Aarhus,2017,33.29
Aarhus,2018,32.92
Aarhus,2019,33.12
Aarhus,2020,33.19
Aarhus,2021,33.77
Aarhus,2022,34.22
Aarhus,2023,33.65
Albertslund,2007,23.34
Albertslund,2008,23.26
Albertslund,2009,23.99
Albertslund,2010,25.03
Albertslund,2011,24.99
Albertslund,2012,25.06
Albertslund,2013,25.5
Albertslund,2014,25.28
Albertslund,2015,25.27
Albertslund,2016,25.68
Albertslund,2017,25.48
Albertslund,2018,25.11
Albertslund,2019,25.27
Albertslund,2020,25.45
Albertslund,2021,25.37
Albertslund,2022,24.49
Albertslund,2023,24.57
Allerød,2007,25.0
Allerød,2008,24.5
Allerød,2009,24.23
Allerød,2010,25.56
Allerød,2011,25.48
Allerød,2012,25.32
Allerød,2013,24.41
Allerød,2014,24.71
Allerød,2015,25.52
Allerød,2016,25.38
Allerød,2017,26.34
Allerød,2018,25.5
Allerød,2019,26.3
Allerød,2020,25.68
Allerød,2021,26.33
Allerød,2022,26.66
Allerød,2023,26.45
Assens,2007,23.45
Assens,2008,25.82
Assens,2009,23.77
Assens,2010,22.94
Assens,2011,22.82
Assens,2012,22.17
Assens,2013,22.18
Assens,2014,23.01
Assens,2015,23.39
Assens,2016,23.96
Assens,2017,24.13
Assens,2018,24.0
Assens,2019,24.54
Assens,2020,24.39
Assens,2021,24.6
Assens,2022,23.88
Assens,2023,24.42
Ballerup,2007,23.42
Ballerup,2008,23.25
Ballerup,2009,22.5
Ballerup,2010,24.02
Ballerup,2011,24.41
Ballerup,2012,24.76
Ballerup,2013,25.1
Ballerup,2014,26.73
Ballerup,2015,26.31
Ballerup,2016,25.77
Ballerup,2017,25.97
Ballerup,2018,25.84
Ballerup,2019,26.32
Ballerup,2020,26.75
Ballerup,2021,26.76
Ballerup,2022,26.35
Ballerup,2023,26.99
Billund,2007,24.4
Billund,2008,24.32
Billund,2009,23.92
Billund,2010,25.03
Billund,2011,24.3
Billund,2012,24.58
Billund,2013,25.47
Billund,2014,24.73
Billund,2015,25.59
Billund,2016,25.77
Billund,2017,26.34
Billund,2018,25.8
Billund,2019,25.53
Billund,2020,26.27
Billund,2021,27.03
Billund,2022,26.36
Billund,2023,26.75
Bornholm,2008,24.88
Bornholm,2009,23.89
Bornholm,2012,22.27
Bornholm,2010,22.85
Bornholm,2011,22.66
Bornholm,2007,22.95
Bornholm,2013,22.07
Bornholm,2014,22.12
Bornholm,2015,22.66
Bornholm,2016,23.39
Bornholm,2017,23.96
Bornholm,2018,23.41
Bornholm,2019,24.46
Bornholm,2020,24.32
Bornholm,2021,24.08
Bornholm,2022,23.65
Bornholm,2023,23.99
Brøndby,2007,22.01
Brøndby,2008,22.72
Brøndby,2009,22.6
Brøndby,2010,23.91
Brøndby,2011,24.31
Brøndby,2012,23.94
Brøndby,2013,24.6
Brøndby,2014,24.88
Brøndby,2015,25.78
Brøndby,2016,25.71
Brøndby,2017,26.19
Brøndby,2018,25.89
Brøndby,2019,25.83
Brøndby,2020,26.28
Brøndby,2021,25.96
Brøndby,2022,25.21
Brøndby,2023,25.46
Brønderslev,2007,26.54
Brønderslev,2008,32.48
Brønderslev,2009,26.48
Brønderslev,2010,24.62
Brønderslev,2011,23.81
Brønderslev,2012,23.34
Brønderslev,2013,23.82
Brønderslev,2014,23.45
Brønderslev,2015,24.22
Brønderslev,2016,26.4
Brønderslev,2017,24.37
Brønderslev,2018,24.51
Brønderslev,2019,24.72
Brønderslev,2020,26.55
Brønderslev,2021,25.61
Brønderslev,2022,25.14
Brønderslev,2023,25.91
Dragør,2007,26.42
Dragør,2008,27.57
Dragør,2009,26.25
Dragør,2010,26.93
Dragør,2011,28.86
Dragør,2012,25.95
Dragør,2013,26.75
Dragør,2014,27.03
Dragør,2015,27.4
Dragør,2016,28.08
Dragør,2017,27.88
Dragør,2018,27.55
Dragør,2019,28.6
Dragør,2020,28.29
Dragør,2021,28.89
Dragør,2022,28.05
Dragør,2023,29.65
Egedal,2007,21.07
Egedal,2008,21.45
Egedal,2009,20.4
Egedal,2010,21.75
Egedal,2011,20.94
Egedal,2012,20.71
Egedal,2013,21.51
Egedal,2014,21.71
Egedal,2015,22.73
Egedal,2016,22.64
Egedal,2017,23.9
Egedal,2018,23.96
Egedal,2019,23.12
Egedal,2020,23.01
Egedal,2021,24.34
Egedal,2022,22.98
Egedal,2023,24.41
Esbjerg,2007,24.49
Esbjerg,2008,25.72
Esbjerg,2009,25.01
Esbjerg,2010,25.78
Esbjerg,2011,26.08
Esbjerg,2012,25.66
Esbjerg,2013,26.79
Esbjerg,2014,26.16
Esbjerg,2015,26.27
Esbjerg,2016,26.69
Esbjerg,2017,27.05
Esbjerg,2018,26.51
Esbjerg,2019,27.2
Esbjerg,2020,26.88
Esbjerg,2021,27.47
Esbjerg,2022,26.77
Esbjerg,2023,27.06
Faaborg-Midtfyn,2007,23.64
Faaborg-Midtfyn,2008,26.2
Faaborg-Midtfyn,2009,23.91
Faaborg-Midtfyn,2010,23.19
Faaborg-Midtfyn,2011,22.73
Faaborg-Midtfyn,2012,22.56
Faaborg-Midtfyn,2013,22.34
Faaborg-Midtfyn,2014,22.53
Faaborg-Midtfyn,2015,23.2
Faaborg-Midtfyn,2016,24.58
Faaborg-Midtfyn,2017,23.41
Faaborg-Midtfyn,2018,24.31
Faaborg-Midtfyn,2019,23.72
Faaborg-Midtfyn,2020,23.81
Faaborg-Midtfyn,2021,24.14
Faaborg-Midtfyn,2022,23.63
Faaborg-Midtfyn,2023,23.82
Fanø,2007,25.94
Fanø,2008,24.85
Fanø,2009,24.91
Fanø,2010,26.13
Fanø,2011,25.68
Fanø,2012,25.45
Fanø,2013,26.08
Fanø,2014,25.35
Fanø,2015,25.39
Fanø,2016,25.49
Fanø,2017,26.3
Fanø,2018,25.79
Fanø,2019,26.14
Fanø,2020,24.8
Fanø,2021,26.53
Fanø,2022,24.62
Fanø,2023,25.2
Favrskov,2007,22.8
Favrskov,2008,23.34
Favrskov,2009,23.16
Favrskov,2010,22.33
Favrskov,2011,22.43
Favrskov,2012,22.58
Favrskov,2013,22.11
Favrskov,2014,22.21
Favrskov,2015,22.6
Favrskov,2016,23.17
Favrskov,2017,23.48
Favrskov,2018,23.32
Favrskov,2019,23.18
Favrskov,2020,24.08
Favrskov,2021,24.54
Favrskov,2022,24.01
Favrskov,2023,25.5
Faxe,2007,23.03
Faxe,2008,22.8
Faxe,2009,22.28
Faxe,2010,23.26
Faxe,2011,22.3
Faxe,2012,23.07
Faxe,2013,23.02
Faxe,2014,23.05
Faxe,2015,23.68
Faxe,2016,23.78
Faxe,2017,24.31
Faxe,2018,24.28
