OMRÅDE,ALDER,KØN,TID,INDHOLD
København,Alder i alt,I alt,2023,3.5
Frederiksberg,Alder i alt,I alt,2023,3.0
Ballerup,Alder i alt,I alt,2023,2.4
Brøndby,Alder i alt,I alt,2023,4.0
Dragør,Alder i alt,I alt,2023,1.7
Gentofte,Alder i alt,I alt,2023,2.2
Gladsaxe,Alder i alt,I alt,2023,2.5
Glostrup,Alder i alt,I alt,2023,2.9
Herlev,Alder i alt,I alt,2023,2.3
Albertslund,Alder i alt,I alt,2023,3.2
Hvidovre,Alder i alt,I alt,2023,2.6
Høje-Taastrup,Alder i alt,I alt,2023,3.7
Lyngby-Taarbæk,Alder i alt,I alt,2023,2.0
Rødovre,Alder i alt,I alt,2023,3.2
Ishøj,Alder i alt,I alt,2023,4.6
Tårnby,Alder i alt,I alt,2023,2.2
Vallensbæk,Alder i alt,I alt,2023,2.8
Furesø,Alder i alt,I alt,2023,2.0
Allerød,Alder i alt,I alt,2023,1.4
Fredensborg,Alder i alt,I alt,2023,1.9
Helsingør,Alder i alt,I alt,2023,2.5
Hillerød,Alder i alt,I alt,2023,1.9
Hørsholm,Alder i alt,I alt,2023,2.0
Rudersdal,Alder i alt,I alt,2023,1.9
Egedal,Alder i alt,I alt,2023,1.7
Frederikssund,Alder i alt,I alt,2023,2.1
Greve,Alder i alt,I alt,2023,2.2
Køge,Alder i alt,I alt,2023,2.1
Halsnæs,Alder i alt,I alt,2023,2.2
Roskilde,Alder i alt,I alt,2023,2.2
Solrød,Alder i alt,I alt,2023,1.8
Gribskov,Alder i alt,I alt,2023,1.9
Odsherred,Alder i alt,I alt,2023,2.2
Holbæk,Alder i alt,I alt,2023,2.1
Faxe,Alder i alt,I alt,2023,2.6
Kalundborg,Alder i alt,I alt,2023,2.3
Ringsted,Alder i alt,I alt,2023,2.6
Slagelse,Alder i alt,I alt,2023,3.1
Stevns,Alder i alt,I alt,2023,2.7
Sorø,Alder i alt,I alt,2023,2.4
Lejre,Alder i alt,I alt,2023,2.1
Lolland,Alder i alt,I alt,2023,3.4
Næstved,Alder i alt,I alt,2023,2.8
Guldborgsund,Alder i alt,I alt,2023,3.0
Vordingborg,Alder i alt,I alt,2023,3.0
Bornholm,Alder i alt,I alt,2023,2.2
Middelfart,Alder i alt,I alt,2023,2.2
Assens,Alder i alt,I alt,2023,2.8
Faaborg-Midtfyn,Alder i alt,I alt,2023,2.5
Kerteminde,Alder i alt,I alt,2023,2.6
Nyborg,Alder i alt,I alt,2023,3.2
Ringsted,Alder i alt,I alt,2015,4.1
Slagelse,Alder i alt,I alt,2015,5.9
Stevns,Alder i alt,I alt,2015,4.2
Sorø,Alder i alt,I alt,2015,4.3
Lejre,Alder i alt,I alt,2015,3.0
Lolland,Alder i alt,I alt,2015,6.5
Næstved,Alder i alt,I alt,2015,5.0
Guldborgsund,Alder i alt,I alt,2015,5.3
Vordingborg,Alder i alt,I alt,2015,5.2
Bornholm,Alder i alt,I alt,2015,5.7
Middelfart,Alder i alt,I alt,2015,3.0
Assens,Alder i alt,I alt,2015,5.0
Faaborg-Midtfyn,Alder i alt,I alt,2015,4.6
Kerteminde,Alder i alt,I alt,2015,4.8
Nyborg,Alder i alt,I alt,2015,4.6
Odense,Alder i alt,I alt,2015,6.1
